CarRegistration,start,end,latitude,longitude,duration
KF44LNGP,2022-07-12 14:12:05,2022-07-12 15:29:35,-25.77378003137685,28.22853360200979,4650.0
KF44LNGP,2022-07-12 16:42:15,2022-07-12 17:03:45,-26.26939972307695,27.771008384615474,1290.0
KF44LNGP,2022-07-12 18:06:05,2022-07-12 18:24:45,-26.134580451327455,28.22896823008851,1120.0
KF44LNGP,2022-07-12 18:28:55,2022-07-12 19:53:05,-26.133900000000192,28.23044999999963,5050.0
KF44LNGP,2022-07-12 21:14:45,2022-07-12 21:48:55,-26.134599752427224,28.22893432038847,2050.0
KF44LNGP,2022-07-12 21:53:15,2022-07-12 22:11:15,-26.135000000000055,28.23039999999995,1080.0
KF44LNGP,2022-07-13 00:07:25,2022-07-13 00:12:35,-25.77180528124999,28.23088299999998,310.0
KF44LNGP,2022-07-13 00:14:35,2022-07-13 00:24:45,-25.773487024513784,28.22829707865728,610.0
KF44LNGP,2022-07-13 01:08:15,2022-07-13 13:12:45,-25.995070839283862,28.17673282291743,43470.0
KF44LNGP,2022-07-13 13:48:35,2022-07-13 14:31:45,-25.773581826922953,28.2284652269229,2590.0
KF44LNGP,2022-07-13 14:43:35,2022-07-13 16:21:25,-25.752351152928835,28.173441805473118,5870.0
KF44LNGP,2022-07-13 16:49:25,2022-07-13 17:03:05,-25.860629316966122,28.246754639101862,820.0
KF44LNGP,2022-07-13 17:53:25,2022-07-13 17:58:55,-26.180574499999985,28.282225470588248,330.0
KF44LNGP,2022-07-13 18:31:15,2022-07-13 20:29:15,-26.011395937940666,28.101113196051127,7080.0
KF44LNGP,2022-07-13 20:40:05,2022-07-13 20:46:15,-26.01619900000001,28.08548399999998,370.0
KF44LNGP,2022-07-13 21:48:05,2022-07-13 21:54:55,-26.13131438842202,28.230702765258034,410.0
KF44LNGP,2022-07-13 21:57:25,2022-07-13 22:25:55,-26.134398999999984,28.23058299999995,1710.0
KF44LNGP,2022-07-14 01:03:45,2022-07-14 11:05:45,-25.995100053141517,28.17673465126005,36120.0
KF44LNGP,2022-07-14 11:10:45,2022-07-14 11:35:15,-25.987234000000058,28.18261677364861,1470.0
KF44LNGP,2022-07-14 12:02:55,2022-07-14 12:16:05,-26.13428300000004,28.22988299999998,790.0
KF44LNGP,2022-07-14 12:20:55,2022-07-14 12:30:05,-26.107594049997935,28.23426490559562,550.0
KF44LNGP,2022-07-14 12:38:55,2022-07-14 13:08:25,-26.133966848314607,28.230663623595404,1770.0
KF44LNGP,2022-07-14 13:53:45,2022-07-14 14:15:05,-25.773729573643447,28.228602403100794,1280.0
KF44LNGP,2022-07-14 14:26:35,2022-07-14 15:00:05,-25.790514856435664,28.277894618811946,2010.0
